Zone,goback,Num,IdTrain,NameFee,StStart,NameSt,StFinal,NameSt_L,NameStEng,NameStEng_L,Service
5,2,19,454,ท้องถิ่น,4432,สุไหงโก-ลก,4402,ยะลา,Sungai Kolok,Yala,FALSE
5,2,20,176,เร็ว,4432,สุไหงโก-ลก,4347,ชุมทางหาดใหญ่,Sungai Kolok,Hat Yai Junction,FALSE
5,2,21,452,ท้องถิ่น,4432,สุไหงโก-ลก,4308,นครศรีธรรมราช,Sungai Kolok,Nakhon Si Thammarat,FALSE
5,2,22,464,ท้องถิ่น,4432,สุไหงโก-ลก,4325,พัทลุง,Sungai Kolok,Phatthalung,FALSE
5,2,23,178,เร็ว,4203,หลังสวน,4002,ธนบุรี,Lang Suan,Thon Buri,TRUE
5,2,24,354,ธรรมดา,4016,นครปฐม,4002,ธนบุรี,Nakhon Pathom,Thon Buri,FALSE
5,2,25,352,ธรรมดา,4089,ราชบุรี,4002,ธนบุรี,Rachaburi,Thon Buri,FALSE
5,2,26,260,ธรรมดา,4077,น้ำตก,4002,ธนบุรี,Nam Tok,Thon Buri,FALSE
5,2,27,252,ธรรมดา,4142,ประจวบคีรีขันธ์,4002,ธนบุรี,Prachuap Khiri Khan,Thon Buri,FALSE
5,2,28,254,ธรรมดา,4203,หลังสวน,4002,ธนบุรี,Lang Suan,Thon Buri,FALSE
5,2,29,258,ธรรมดา,4077,น้ำตก,4002,ธนบุรี,Nam Tok,Thon Buri,FALSE
5,2,30,486,ท้องถิ่น,4077,น้ำตก,4020,ชุมทางหนองปลาดุก,Nam Tok,Nong Pla Duk Junction,FALSE
