Zone,goback,Num,IdTrain,NameFee,StStart,NameSt,StFinal,NameSt_L,NameStEng,NameStEng_L,Service
3,2,24,102,เร็ว,1222,เชียงใหม่,1001,กรุงเทพ,Chiang Mai,Bangkok,FALSE
3,2,25,210,ธรรมดา,1067,บ้านตาคลี,1001,กรุงเทพ,Ban Takhli,Bangkok,FALSE
4,1,0,479,ชานเมือง,4002,ธนบุรี,4009,ศาลายา,Thon Buri,Sala Ya,FALSE
4,1,0,477,ชานเมือง,4002,ธนบุรี,4009,ศาลายา,Thon Buri,Sala Ya,FALSE
4,1,0,475,ชานเมือง,4002,ธนบุรี,4009,ศาลายา,Thon Buri,Sala Ya,FALSE
4,1,0,473,ชานเมือง,4002,ธนบุรี,4009,ศาลายา,Thon Buri,Sala Ya,FALSE
4,1,0,471,ชานเมือง,4002,ธนบุรี,4009,ศาลายา,Thon Buri,Sala Ya,FALSE
4,2,0,474,ชานเมือง,4009,ศาลายา,4002,ธนบุรี,Sala Ya,Thon Buri,FALSE
4,2,0,478,ชานเมือง,4009,ศาลายา,4002,ธนบุรี,Sala Ya,Thon Buri,FALSE
4,2,0,480,ชานเมือง,4009,ศาลายา,4002,ธนบุรี,Sala Ya,Thon Buri,FALSE
4,2,0,476,ชานเมือง,4009,ศาลายา,4002,ธนบุรี,Sala Ya,Thon Buri,FALSE
4,2,0,472,ชานเมือง,4009,ศาลายา,4002,ธนบุรี,Sala Ya,Thon Buri,FALSE
5,1,0,9085,ด่วน,1001,กรุงเทพ,4270,ชุมทางทุ่งสง,Bangkok,Thung Song Junction,TRUE
5,1,0,949,ท้องถิ่น,4347,ชุมทางหาดใหญ่,4374,ปาดังเบซาร์,Hat Yai Junction,Padang Besar,TRUE
5,1,0,947,ท้องถิ่น,4347,ชุมทางหาดใหญ่,4374,ปาดังเบซาร์,Hat Yai Junction,Padang Besar,TRUE
5,1,1,43,ด่วนพิเศษ,1001,กรุงเทพ,4239,สุราษฎร์ธานี,Bangkok,Surat Thani,FALSE
5,1,2,261,ธรรมดา,1001,กรุงเทพ,4118,หัวหิน,Bangkok,Hua Hin,FALSE
5,1,3,171,เร็ว,1001,กรุงเทพ,4432,สุไหงโก-ลก,Bangkok,Sungai Kolok,FALSE
5,1,4,31,ด่วนพิเศษ CNR,1001,กรุงเทพ,4347,ชุมทางหาดใหญ่,Bangkok,Hat Yai Junction,FALSE
